,TA_F,SW_IN_POT,SW_IN_F,LW_IN_F,VPD_F,P_F,WS_F,LE_F_MDS,H_F_MDS
259,13.372,331.166,33.047,374.089,0.813,1.785,4.736,13.2917,-13.0693
260,14.188,328.148,109.359,346.785,1.957,0.403,2.904,47.7089,2.04854
261,8.026,325.118,39.188,329.138,1.949,4.616,2.557,44.7808,-23.4769
262,8.384,322.081,158.516,269.677,2.158,0.303,3.095,61.8943,17.9992
263,8.9,319.034,167.239,276.357,2.348,0.167,3.169,74.9774,15.3722
264,9.686,315.98,168.709,270.426,3.192,1.8900000000000001,2.198,60.1806,27.3701
265,11.375,312.917,211.464,250.029,4.737,3.613,1.836,54.7513,57.1534
266,11.58,309.85,216.968,249.099,5.297,5.336,3.619,90.5371,16.6514
267,11.247,306.776,55.178,349.325,1.434,7.059,2.087,39.6201,-2.31842
268,12.286,303.699,58.448,371.936,0.219,12.999,1.91,58.9207,7.05002
269,9.666,300.617,126.104,328.899,0.752,2.219,3.001,51.2147,28.9876
270,9.648,297.532,100.862,334.068,0.903,1.483,2.112,49.5822,3.59837
271,9.214,294.446,53.02,341.922,0.475,7.268,3.129,34.3349,-16.0521
272,10.178,291.359,143.788,302.205,1.246,5.557,2.27,53.7394,20.477
273,9.096,288.271,125.2,304.468,1.886,1.488,3.12,61.8562,21.1651
274,7.739,285.184,63.069,341.861,0.287,18.309,4.084,43.803,-9.12086
275,5.112,282.099,66.226,296.78,0.652,1.904,1.988,34.5608,-4.74214
276,5.697,279.017,106.334,265.279,1.345,2.01,2.25,56.0419,17.658
277,5.97,275.938,138.994,276.564,1.491,2.021,2.764,37.7672,39.9104
278,5.209,272.864,89.343,299.456,1.67,5.213,3.398,63.9052,-2.21235
279,6.379,269.795,134.497,280.541,2.468,0.381,3.918,57.1336,24.4452
280,8.306,266.733,117.902,273.459,2.04,1.63,4.695,35.1982,-10.7223
281,10.311,263.679,119.019,296.175,3.656,0.9934999999999999,3.17,43.2644,6.68643
282,10.44,260.632,126.994,307.176,2.84,0.357,4.651,38.6563,21.867
283,11.114,257.596,69.185,312.864,1.515,0.001,4.272,21.7668,-7.79442
284,7.174,254.57,33.276,341.07,0.336,0.944,2.797,29.7423,3.5985
285,3.47,251.556,44.169,315.194,0.56,5.785,4.69,65.3171,-23.1344
286,1.105,248.553,49.603,306.181,0.257,4.744,4.621,29.5089,-10.7836
